idproduto,referencia,produto,curva_abc,continuidade,linha,familia,ano,mes,ml_qtd
16057,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,2,84
16057,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,3,55
16057,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,4,50
16058,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,1,120
16058,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,2,66
16058,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,3,44
16058,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,4,40
16059,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,1,90
16059,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,2,50
16059,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,3,33
16059,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,4,30
16064,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,1,169
16064,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,2,93
16064,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,3,62
16064,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,4,56
16065,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,1,192
16065,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,2,106
16065,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,3,70
16065,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,4,63
16066,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,1,137
16066,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,2,76
16066,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,3,50
16066,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,4,45
16067,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,1,105
16067,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,2,58
16067,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,3,38
16067,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,4,34
16433,301701,CALCINHA FIO DENTAL CORTE ELETRONICO,A,PERMANENTE,FREE,BASICOS,2026,1,51
16433,301701,CALCINHA FIO DENTAL CORTE ELETRONICO,A,PERMANENTE,FREE,BASICOS,2026,2,12
16433,301701,CALCINHA FIO DENTAL CORTE ELETRONICO,A,PERMANENTE,FREE,BASICOS,2026,3,0
16433,301701,CALCINHA FIO DENTAL CORTE ELETRONICO,A,PERMANENTE,FREE,BASICOS,2026,4,22
16434,301701,CALCINHA FIO DENTAL CORTE ELETRONICO,A,PERMANENTE,FREE,BASICOS,2026,1,0
