idproduto;referencia;produto;cor;tamanho;continuidade;lote minimo
34821;501742;CALCINHA STRING RENDADA KISS ME;NUDE;G;PERMANENTE;40
34820;501742;CALCINHA STRING RENDADA KISS ME;NUDE;M;PERMANENTE;40
34819;501742;CALCINHA STRING RENDADA KISS ME;NUDE;P;PERMANENTE;40
34812;501742;CALCINHA STRING RENDADA KISS ME;PRETO;G;PERMANENTE;40
34811;501742;CALCINHA STRING RENDADA KISS ME;PRETO;M;PERMANENTE;40
34810;501742;CALCINHA STRING RENDADA KISS ME;PRETO;P;PERMANENTE;40
35021;501745;CALCINHA FIO DENTAL COS EM RENDA KISS ME;BRANCO;G;PERMANENTE;40
35020;501745;CALCINHA FIO DENTAL COS EM RENDA KISS ME;BRANCO;M;PERMANENTE;40
35019;501745;CALCINHA FIO DENTAL COS EM RENDA KISS ME;BRANCO;P;PERMANENTE;40
35027;501745;CALCINHA FIO DENTAL COS EM RENDA KISS ME;LOVE;G;PERMANENTE;40
35026;501745;CALCINHA FIO DENTAL COS EM RENDA KISS ME;LOVE;M;PERMANENTE;40
35025;501745;CALCINHA FIO DENTAL COS EM RENDA KISS ME;LOVE;P;PERMANENTE;40
35030;501745;CALCINHA FIO DENTAL COS EM RENDA KISS ME;NUDE;G;PERMANENTE;40
35029;501745;CALCINHA FIO DENTAL COS EM RENDA KISS ME;NUDE;M;PERMANENTE;40
35028;501745;CALCINHA FIO DENTAL COS EM RENDA KISS ME;NUDE;P;PERMANENTE;40
35024;501745;CALCINHA FIO DENTAL COS EM RENDA KISS ME;PRETO;G;PERMANENTE;40
35023;501745;CALCINHA FIO DENTAL COS EM RENDA KISS ME;PRETO;M;PERMANENTE;40
35022;501745;CALCINHA FIO DENTAL COS EM RENDA KISS ME;PRETO;P;PERMANENTE;40
35840;601172;CALCINHA BIQUINI IDEAL RENDA;CALLAS;G;PERMANENTE;40
35841;601172;CALCINHA BIQUINI IDEAL RENDA;CALLAS;GG;PERMANENTE;40
35839;601172;CALCINHA BIQUINI IDEAL RENDA;CALLAS;M;PERMANENTE;40
35838;601172;CALCINHA BIQUINI IDEAL RENDA;CALLAS;P;PERMANENTE;40
35836;601172;CALCINHA BIQUINI IDEAL RENDA;TRUFA;G;PERMANENTE;40
35837;601172;CALCINHA BIQUINI IDEAL RENDA;TRUFA;GG;PERMANENTE;40
35835;601172;CALCINHA BIQUINI IDEAL RENDA;TRUFA;M;PERMANENTE;40
35834;601172;CALCINHA BIQUINI IDEAL RENDA;TRUFA;P;PERMANENTE;40
35776;601772;CALCINHA FIO DENTAL IDEAL RENDA;CALLAS;G;PERMANENTE;40
35775;601772;CALCINHA FIO DENTAL IDEAL RENDA;CALLAS;M;PERMANENTE;40
35774;601772;CALCINHA FIO DENTAL IDEAL RENDA;CALLAS;P;PERMANENTE;40
35772;601772;CALCINHA FIO DENTAL IDEAL RENDA;TRUFA;G;PERMANENTE;40
35771;601772;CALCINHA FIO DENTAL IDEAL RENDA;TRUFA;M;PERMANENTE;40
35770;601772;CALCINHA FIO DENTAL IDEAL RENDA;TRUFA;P;PERMANENTE;40
36604;603022;SUTIA MEIA TACA C/ BOJO RENDA;CALLAS;40B;PERMANENTE;40
36605;603022;SUTIA MEIA TACA C/ BOJO RENDA;CALLAS;40C;PERMANENTE;40
36606;603022;SUTIA MEIA TACA C/ BOJO RENDA;CALLAS;42B;PERMANENTE;40
36607;603022;SUTIA MEIA TACA C/ BOJO RENDA;CALLAS;42C;PERMANENTE;40
36608;603022;SUTIA MEIA TACA C/ BOJO RENDA;CALLAS;44B;PERMANENTE;40
36609;603022;SUTIA MEIA TACA C/ BOJO RENDA;CALLAS;44C;PERMANENTE;40
36610;603022;SUTIA MEIA TACA C/ BOJO RENDA;CALLAS;46B;PERMANENTE;40
36611;603022;SUTIA MEIA TACA C/ BOJO RENDA;CALLAS;46C;PERMANENTE;40
36612;603022;SUTIA MEIA TACA C/ BOJO RENDA;CALLAS;48C;PERMANENTE;40
36595;603022;SUTIA MEIA TACA C/ BOJO RENDA;TRUFA;40B;PERMANENTE;40
36596;603022;SUTIA MEIA TACA C/ BOJO RENDA;TRUFA;40C;PERMANENTE;40
36597;603022;SUTIA MEIA TACA C/ BOJO RENDA;TRUFA;42B;PERMANENTE;40
36598;603022;SUTIA MEIA TACA C/ BOJO RENDA;TRUFA;42C;PERMANENTE;40
