idproduto,mes,ano,quantidade,origem
29418,1,2026,70,"API"
29419,1,2026,66,"API"
29420,1,2026,66,"API"
29424,1,2026,67,"API"
29425,1,2026,53,"API"
29426,1,2026,56,"API"
29427,1,2026,89,"API"
29428,1,2026,98,"API"
29429,1,2026,72,"API"
29430,1,2026,23,"API"
29431,1,2026,16,"API"
29432,1,2026,13,"API"
29433,1,2026,23,"API"
29434,1,2026,16,"API"
29435,1,2026,13,"API"
29448,1,2026,45,"API"
29449,1,2026,31,"API"
29450,1,2026,27,"API"
29454,1,2026,51,"API"
29455,1,2026,39,"API"
29456,1,2026,31,"API"
29552,1,2026,54,"API"
29553,1,2026,18,"API"
29617,1,2026,9,"API"
29618,1,2026,16,"API"
29619,1,2026,16,"API"
29620,1,2026,15,"API"
29875,1,2026,98,"API"
29876,1,2026,98,"API"
29877,1,2026,63,"API"
29881,1,2026,49,"API"
29882,1,2026,48,"API"
29883,1,2026,40,"API"
30003,1,2026,36,"API"
30004,1,2026,34,"API"
30005,1,2026,25,"API"
30006,1,2026,21,"API"
30007,1,2026,21,"API"
30008,1,2026,17,"API"
30061,1,2026,246,"API"
30062,1,2026,334,"API"
30063,1,2026,252,"API"
30064,1,2026,148,"API"
30065,1,2026,135,"API"
30066,1,2026,177,"API"
30067,1,2026,152,"API"
30068,1,2026,100,"API"
30097,1,2026,53,"API"
30101,1,2026,81,"API"
30105,1,2026,108,"API"
30109,1,2026,57,"API"
30150,1,2026,9,"API"
30151,1,2026,9,"API"
30153,1,2026,23,"API"
30154,1,2026,30,"API"
30157,1,2026,30,"API"
30158,1,2026,42,"API"
30160,1,2026,22,"API"
30161,1,2026,39,"API"
30286,1,2026,131,"API"
30287,1,2026,182,"API"
30288,1,2026,164,"API"
30289,1,2026,101,"API"
30290,1,2026,158,"API"
30291,1,2026,151,"API"
30745,1,2026,29,"API"
30746,1,2026,45,"API"
30747,1,2026,39,"API"
30748,1,2026,28,"API"
30749,1,2026,18,"API"
30750,1,2026,32,"API"
30751,1,2026,34,"API"
30752,1,2026,22,"API"
30893,1,2026,53,"API"
30894,1,2026,60,"API"
30895,1,2026,57,"API"
30896,1,2026,43,"API"
30897,1,2026,23,"API"
30898,1,2026,25,"API"
30899,1,2026,24,"API"
30900,1,2026,20,"API"
30901,1,2026,108,"API"
30902,1,2026,114,"API"
30903,1,2026,102,"API"
30904,1,2026,56,"API"
30905,1,2026,40,"API"
30906,1,2026,52,"API"
30907,1,2026,61,"API"
30908,1,2026,53,"API"
30909,1,2026,30,"API"
30910,1,2026,21,"API"
30945,1,2026,21,"API"
30946,1,2026,30,"API"
30947,1,2026,25,"API"
30948,1,2026,14,"API"
30949,1,2026,13,"API"
31047,1,2026,67,"API"
31049,1,2026,33,"API"
31050,1,2026,114,"API"
31068,1,2026,175,"API"
31069,1,2026,56,"API"
31070,1,2026,109,"API"
31072,1,2026,106,"API"
31073,1,2026,58,"API"
31074,1,2026,76,"API"
31075,1,2026,95,"API"
31076,1,2026,55,"API"
31097,1,2026,28,"API"
