"idproduto";"referencia";"produto";"cor";"tamanho";"continuidade"
"37557";"301311";"CALCINHA LARGA  S/COSTURA CONTROL";"PRETO";"GG";"PERMANENTE"
"37555";"301311";"CALCINHA LARGA  S/COSTURA CONTROL";"PRETO";"M";"PERMANENTE"
"34692";"301707";"CALCINHA ALTA EM MICROFIBRA CONTRO";"NUDE";"G";"PERMANENTE"
"34693";"301707";"CALCINHA ALTA EM MICROFIBRA CONTRO";"NUDE";"GG";"PERMANENTE"
"34691";"301707";"CALCINHA ALTA EM MICROFIBRA CONTRO";"NUDE";"M";"PERMANENTE"
"34724";"302104";"BERMUDA ALTA EM MICROFIBRA CONTROL";"NUDE";"G";"PERMANENTE"
"34725";"302104";"BERMUDA ALTA EM MICROFIBRA CONTROL";"NUDE";"GG";"PERMANENTE"
"34723";"302104";"BERMUDA ALTA EM MICROFIBRA CONTROL";"NUDE";"M";"PERMANENTE"
"34711";"303402";"SUTIA TRIANGULO FIRMADOR EM MICROFIBRA";"NUDE";"G";"PERMANENTE"
"34712";"303402";"SUTIA TRIANGULO FIRMADOR EM MICROFIBRA";"NUDE";"GG";"PERMANENTE"
"34710";"303402";"SUTIA TRIANGULO FIRMADOR EM MICROFIBRA";"NUDE";"M";"PERMANENTE"
"34706";"303402";"SUTIA TRIANGULO FIRMADOR EM MICROFIBRA";"PRETO";"G";"PERMANENTE"
"34707";"303402";"SUTIA TRIANGULO FIRMADOR EM MICROFIBRA";"PRETO";"GG";"PERMANENTE"
"34705";"303402";"SUTIA TRIANGULO FIRMADOR EM MICROFIBRA";"PRETO";"M";"PERMANENTE"
"38631";"303603";"SUTIA TQC EM MICROFIBRA CONTROL";"NUDE";"42";"PERMANENTE"
"38632";"303603";"SUTIA TQC EM MICROFIBRA CONTROL";"NUDE";"44";"PERMANENTE"
"38633";"303603";"SUTIA TQC EM MICROFIBRA CONTROL";"NUDE";"46";"PERMANENTE"
"38635";"303603";"SUTIA TQC EM MICROFIBRA CONTROL";"PRETO";"42";"PERMANENTE"
"38636";"303603";"SUTIA TQC EM MICROFIBRA CONTROL";"PRETO";"44";"PERMANENTE"
"38637";"303603";"SUTIA TQC EM MICROFIBRA CONTROL";"PRETO";"46";"PERMANENTE"
"36675";"306602";"BODY MANGA ALTA SEM MANGA EM MICRO";"PRETO";"G";"PERMANENTE"
"36676";"306602";"BODY MANGA ALTA SEM MANGA EM MICRO";"PRETO";"GG";"PERMANENTE"
"36674";"306602";"BODY MANGA ALTA SEM MANGA EM MICRO";"PRETO";"M";"PERMANENTE"
"36673";"306602";"BODY MANGA ALTA SEM MANGA EM MICRO";"PRETO";"P";"PERMANENTE"
"34834";"501723";"CALCINHA SEMI FIO EM RENDA KISS ME";"BRANCO";"G";"PERMANENTE"
"34835";"501723";"CALCINHA SEMI FIO EM RENDA KISS ME";"BRANCO";"GG";"PERMANENTE"
"34833";"501723";"CALCINHA SEMI FIO EM RENDA KISS ME";"BRANCO";"M";"PERMANENTE"
"34832";"501723";"CALCINHA SEMI FIO EM RENDA KISS ME";"BRANCO";"P";"PERMANENTE"
"34838";"501723";"CALCINHA SEMI FIO EM RENDA KISS ME";"LOVE";"G";"PERMANENTE"
"34839";"501723";"CALCINHA SEMI FIO EM RENDA KISS ME";"LOVE";"GG";"PERMANENTE"
"34837";"501723";"CALCINHA SEMI FIO EM RENDA KISS ME";"LOVE";"M";"PERMANENTE"
"34836";"501723";"CALCINHA SEMI FIO EM RENDA KISS ME";"LOVE";"P";"PERMANENTE"
"34842";"501723";"CALCINHA SEMI FIO EM RENDA KISS ME";"NUDE";"G";"PERMANENTE"
"34843";"501723";"CALCINHA SEMI FIO EM RENDA KISS ME";"NUDE";"GG";"PERMANENTE"
"34841";"501723";"CALCINHA SEMI FIO EM RENDA KISS ME";"NUDE";"M";"PERMANENTE"
"34840";"501723";"CALCINHA SEMI FIO EM RENDA KISS ME";"NUDE";"P";"PERMANENTE"
"34830";"501723";"CALCINHA SEMI FIO EM RENDA KISS ME";"PRETO";"G";"PERMANENTE"
"34831";"501723";"CALCINHA SEMI FIO EM RENDA KISS ME";"PRETO";"GG";"PERMANENTE"
